principal_diagnostic,icd_code
Traumatismo de otros vasos sanguíneos a nivel del antebrazo,S558
Traumatismo de vaso sanguíneo no especificado a nivel del antebrazo,S559
Traumatismo de tendón y músculo a nivel del antebrazo,S56
Traumatismo del tendón y músculo flexor del pulgar a nivel del antebrazo,S560
Traumatismo del tendón y músculo flexor de otro(s) dedo(s) a nivel del antebrazo,S561
Traumatismo de otro tendón y músculo flexor a nivel del antebrazo,S562
Traumatismo de tendones y músculos abductores y extensores del pulgar a nivel del antebrazo,S563
Traumatismo del tendón y músculo extensor de otro(s) dedo(s) a nivel del antebrazo,S564
Traumatismo de otro tendón y músculo extensor a nivel del antebrazo,S565
Traumatismo de múltiples tendones y músculos a nivel del antebrazo,S567
"Traumatismo de otros tendones y músculos y de los no especificados, a nivel del antebrazo",S568
Traumatismo por aplastamiento del antebrazo,S57
Traumatismo por aplastamiento del codo,S570
Traumatismo por aplastamiento de otras partes del antebrazo,S578
"Traumatismo por aplastamiento del antebrazo, parte no especificada",S579
Amputación traumática del antebrazo,S58
Amputación traumática a nivel del codo,S580
Amputación traumática nivel entre el codo y la muñeca,S581
"Amputación traumática del antebrazo, nivel no especificado",S589
Otros traumatismos y los no especificados del antebrazo,S59
Traumatismos múltiples del antebrazo,S597
Otros traumatismos especificados del antebrazo,S598
Traumatismo no especificado del antebrazo,S599
Traumatismo superficial de la muñeca y de la mano,S60
"Contusión de dedo(s) de la mano, sin daño de la(s) uña(s)",S600
Contusión de dedo(s) de la mano con daño de la(s) uña(s),S601
Contusión de otras partes de la muñeca y de la mano,S602
Traumatismos superficiales múltiples de la muñeca y de la mano,S607
Otros traumatismos superficiales de la muñeca y de la mano,S608
"Traumatismo superficial de la muñeca y de la mano, no especificado",S609
Herida de la muñeca y de la mano,S61
"Herida de dedo(s) de la mano, sin daño de la(s) uña(s)",S610
"Herida de dedo(s) de la mano, con daño de la(s) uña(s)",S611
Heridas múltiples de la muñeca y de la mano,S617
Herida de otras partes de la muñeca y de la mano,S618
"Herida de la muñeca y de la mano, parte no especificada",S619
Fractura a nivel de la muñeca y de la mano,S62
Fractura del hueso escafoides [navicular] de la mano,S620
Fractura de otro(s) hueso(s) del carpo,S621
Fractura del primer metacarpiano,S622
Fractura de otros huesos metacarpianos,S623
Fracturas múltiples de huesos metacarpianos,S624
Fractura del pulgar,S625
Fractura de otro dedo de la mano,S626
Fracturas múltiples de los dedos de la mano,S627
Fractura de otras partes y de las no especificadas de la muñeca y de la mano,S628
"Luxación, esguince y torcedura de articulaciones y ligamentos a nivel de la muñeca y de la mano",S63
Luxación de la muñeca,S630
Luxación de dedos de la mano,S631
Luxaciones múltiples de dedos de la mano,S632
Ruptura traumática de ligamentos de la muñeca y del carpo,S633
Ruptura traumática de ligamentos del dedo de la mano en la(s) articulación(es) metacarpofalángica e interfalángica,S634
Esguince y torcedura de la muñeca,S635
Esguinces y torceduras de dedo(s) de la mano,S636
Esguinces y torceduras de otras partes y de las no especificadas de la muñeca y de la mano,S637
Traumatismo de nervios a nivel de la muñeca y de la mano,S64
Traumatismo del nervio cubital a nivel de la muñeca y de la mano,S640
Traumatismo del nervio mediano a nivel de la muñeca y de la mano,S641
Traumatismo del nervio radial a nivel de la muñeca y de la mano,S642
Traumatismo del nervio digital del pulgar,S643
Traumatismo del nervio digital de otro dedo,S644
Traumatismo de múltiples nervios a nivel de la muñeca y de la mano,S647
Traumatismo de otros nervios a nivel de la muñeca y de la mano,S648
Traumatismo de nervio no especificado a nivel de la muñeca y de la mano,S649
Traumatismo de vasos sanguíneos a nivel de la muñeca y de la mano,S65
Traumatismo de la arteria cubital a nivel de la muñeca y de la mano,S650
Traumatismo de la arteria radial a nivel de la muñeca y de la mano,S651
Traumatismo del arco palmar superficial,S652
Traumatismo del arco palmar profundo,S653
Traumatismo de vaso(s) sanguíneo(s) del pulgar,S654
Traumatismo de vaso(s) sanguíneo(s) de otro dedo,S655
Traumatismo de múltiples vasos sanguíneos a nivel de la muñeca y de la mano,S657
Traumatismo de otros vasos sanguíneos a nivel de la muñeca y de la mano,S658
"Traumatismo de vaso sanguíneo no especificado, a nivel de la muñeca y de la mano",S659
Traumatismo de tendón y músculo a nivel de la muñeca y de la mano,S66
Traumatismo del tendón y músculo flexor largo del pulgar a nivel de la muñeca y de la mano,S660
Traumatismo del tendón y músculo flexor de otro dedo a nivel de la muñeca y de la mano,S661
Traumatismo del tendón y músculo extensor del pulgar a nivel de la muñeca y de la mano,S662
Traumatismo del tendón y músculo extensor de otro(s) dedo(s) a nivel de la muñeca y de la mano,S663
Traumatismo del músculo y tendón intrínseco del pulgar a nivel de la muñeca y de la mano,S664
Traumatismo del músculo y tendón intrínseco de otro(s) dedo(s) a nivel de la muñeca y de la mano,S665
Traumatismo de múltiples tendones y músculos flexores a nivel de la muñeca y de la mano,S666
Traumatismo de múltiples tendones y músculos extensores a nivel de la muñeca y de la mano,S667
Traumatismo de otros tendones y músculos a nivel de la muñeca y de la mano,S668
"Traumatismo de tendón y músculo no especificado, a nivel de la muñeca y de la mano",S669
Traumatismo por aplastamiento de la muñeca y de la mano,S67
Traumatismo por aplastamiento del pulgar y otro(s) dedo(s),S670
Traumatismo por aplastamiento de otras partes y de las no especificadas de la muñeca y de la mano,S678
Amputación traumática de la muñeca y de la mano,S68
Amputación traumática del pulgar (completa) (parcial),S680
Amputación traumática de otro dedo único (completa) (parcial),S681
Amputación traumática de dos o más dedos solamente (completa) (parcial),S682
Amputación traumática combinada (de parte) de dedo(s) con otras partes de la muñeca y de la mano,S683
Amputación traumática de la mano a nivel de la muñeca,S684
Amputación traumática de otras partes de la muñeca y de la mano,S688
"Amputación traumática de la muñeca y de la mano, nivel no especificado",S689
Otros traumatismos y los no especificados de la muñeca y de la mano,S69
Traumatismos múltiples de la muñeca y de la mano,S697
Otros traumatismos especificados de la muñeca y de la mano,S698
Traumatismo no especificado de la muñeca y de la mano,S699
Traumatismo superficial de la cadera y del muslo,S70
Contusión de la cadera,S700
Contusión del muslo,S701
Traumatismos superficiales múltiples de la cadera y del muslo,S707
Otros traumatismos superficiales de la cadera y del muslo,S708
"Traumatismo superficial de la cadera y del muslo, no especificado",S709
Herida de la cadera y del muslo,S71
Herida de la cadera,S710
Herida del muslo,S711
Heridas múltiples de la cadera y del muslo,S717
Herida de otras partes y de las no especificadas de la cintura pélvica,S718
Fractura del fémur,S72
Fractura del cuello de fémur,S720
Fractura pertrocanteriana,S721
Fractura subtrocanteriana,S722
Fractura de la diáfisis del fémur,S723
Fractura de la epífisis inferior del fémur,S724
Fracturas múltiples del fémur,S727
Fracturas de otras partes del fémur,S728
"Fractura del fémur, parte no especificada",S729
"Luxación, esguince y torcedura de la articulación y de los ligamentos de la cadera",S73
Luxación de la cadera,S730
Esguinces y torceduras de la cadera,S731
Traumatismo de nervios a nivel de la cadera y del muslo,S74
Traumatismo del nervio ciático a nivel de la cadera y del muslo,S740
Traumatismo del nervio femorocutáneo a nivel de la cadera y del muslo,S741
Traumatismo del nervio sensorial cutáneo a nivel de la cadera y del muslo,S742
Traumatismo de nervios múltiples a nivel de la cadera y del muslo,S747
Traumatismo de otros nervios a nivel de la cadera y del muslo,S748
Traumatismo de nervio no especificado a nivel de la cadera y del muslo,S749
Traumatismo de vasos sanguíneos a nivel de la cadera y del muslo,S75
Traumatismo de la arteria femoral,S750
Traumatismo de la vena femoral a nivel de la cadera y del muslo,S751
Traumatismo de la gran vena safena a nivel de la cadera y del muslo,S752
Traumatismo de múltiples vasos sanguíneos a nivel de la cadera y del muslo,S757
Traumatismo de otros vasos sanguíneos a nivel de la cadera y del muslo,S758
Traumatismo de vaso sanguíneo no especificado a nivel de la cadera y del muslo,S759
Traumatismo de tendón y músculo a nivel de la cadera y del muslo,S76
Traumatismo del tendón y músculo de la cadera,S760
Traumatismo del tendón y músculo cuádriceps,S761
Traumatismo del tendón y músculo aductor mayor del muslo,S762
Traumatismo de tendón y músculo del grupo muscular posterior a nivel del muslo,S763
Traumatismo de otros tendones y músculos y los no especificados a nivel del muslo,S764
Traumatismo de múltiples tendones y músculos a nivel de la cadera y del muslo,S767
Traumatismo por aplastamiento de la cadera y del muslo,S77
Traumatismo por aplastamiento de la cadera,S770
Traumatismo por aplastamiento del muslo,S771
Traumatismo por aplastamiento de la cadera con el muslo,S772
Amputación traumática de la cadera y del muslo,S78
Amputación traumática de la articulación de la cadera,S780
Amputación traumática en algún nivel entre la cadera y la rodilla,S781
"Amputación traumática de cadera y muslo, nivel no especificado",S789
Otros traumatismos y los no especificados de la cadera y del muslo,S79
Traumatismos múltiples de la cadera y del muslo,S797
Otros traumatismos especificados de la cadera y del muslo,S798
Traumatismo no especificado de la cadera y del muslo,S799
Traumatismo superficial de la pierna,S80
Contusión de la rodilla,S800
Contusión de otras partes y las no especificadas de la pierna,S801
Traumatismos superficiales múltiples de la pierna,S807
Otros traumatismos superficiales de la pierna,S808
"Traumatismo superficial de la pierna, no especificado",S809
Herida de la pierna,S81
Herida de la rodilla,S810
Heridas múltiples de la pierna,S817
Herida de otras partes de la pierna,S818
"Herida de la pierna, parte no especificada",S819
"Fractura de la pierna, inclusive el tobillo",S82
Fractura de la rótula,S820
Fractura de la epífisis superior de la tibia,S821
Fractura de la diáfisis de la tibia,S822
Fractura de la epífisis inferior de la tibia,S823
Fractura del peroné solamente,S824
Fractura del maléolo interno,S825
Fractura del maléolo externo,S826
Fracturas múltiples de la pierna,S827
Fractura de otras partes de la pierna,S828
"Fractura de la pierna, parte no especificada",S829
"Luxación, esguince y torcedura de articulaciones y ligamentos de la rodilla",S83
Luxación de la rótula,S830
Luxación de la rodilla,S831
"Desgarro de meniscos, presente",S832
"Desgarro del cartílago articular de la rodilla, presente",S833
Esguinces y torceduras que comprometen los ligamentos laterales (externo) (interno) de la rodilla,S834
Esguinces y torceduras que comprometen el ligamento cruzado (anterior) (posterior) de la rodilla,S835
Esguinces y torceduras de otras partes y las no especificadas de la rodilla,S836
Traumatismo de estructuras múltiples de la rodilla,S837
Traumatismo de nervios a nivel de la pierna,S84
Traumatismo del nervio tibial a nivel de la pierna,S840
Traumatismo del nervio peroneo a nivel de la pierna,S841
Traumatismo del nervio sensorial cutáneo a nivel de la pierna,S842
Traumatismo de nervios múltiples a nivel de la pierna,S847
Traumatismo de otros nervios a nivel de la pierna,S848
Traumatismo de nervio no especificado a nivel de la pierna,S849
Traumatismo de vasos sanguíneos a nivel de la pierna,S85
Traumatismo de la arteria poplítea,S850
Traumatismo de la arteria tibial (anterior) (posterior),S851
Traumatismo de la arteria peronea,S852
Traumatismo de la gran vena safena a nivel de la pierna,S853
Traumatismo de la vena safena externa a nivel de la pierna,S854
Traumatismo de la vena poplítea,S855
Traumatismo de vasos sanguíneos múltiples a nivel de la pierna,S857
Traumatismo de otros vasos sanguíneos a nivel de la pierna,S858
Traumatismo de vaso sanguíneo no especificado a nivel de la pierna,S859
Traumatismo de tendón y músculo a nivel de la pierna,S86
Traumatismo del tendón de Aquiles,S860
Traumatismo de otro(s) tendón(es) y músculo(s) del grupo muscular posterior a nivel de la pierna,S861
Traumatismo de tendón(es) y músculo(s) del grupo muscular anterior a nivel de la pierna,S862
Traumatismo de tendón(es) y músculo(s) del grupo muscular peroneo a nivel de la pierna,S863
Traumatismo de múltiples tendones y músculos a nivel de la pierna,S867
Traumatismo de otros tendones y músculos a nivel de la pierna,S868
Traumatismo de tendón y músculo no especificado a nivel de la pierna,S869
Traumatismo por aplastamiento de la pierna,S87
Traumatismo por aplastamiento de la rodilla,S870
Traumatismo por aplastamiento de otras partes y de las no especificadas de la pierna,S878
Amputación traumática de la pierna,S88
Amputación traumática a nivel de la rodilla,S880
Amputación traumática en algún nivel entre la rodilla y el tobillo,S881
"Amputación traumática de la pierna, nivel no especificado",S889
Otros traumatismos y los no especificados de la pierna,S89
Traumatismos múltiples de la pierna,S897
"Otros traumatismos de la pierna, especificados",S898
"Traumatismo de la pierna, no especificado",S899
Traumatismo superficial del tobillo y del pie,S90
Contusión del tobillo,S900
Contusión de dedo(s) del pie sin daño de la(s) uña(s),S901
Contusión de dedo(s) del pie con daño de la(s) uña(s),S902
Contusión de otras partes y de las no especificadas del pie,S903
Traumatismos superficiales múltiples del pie y del tobillo,S907
Otros traumatismos superficiales del pie y del tobillo,S908
"Traumatismo superficial del pie y del tobillo, no especificado",S909
Herida del tobillo y del pie,S91
Herida del tobillo,S910
Herida de dedo(s) del pie sin daño de la(s) uña(s),S911
Herida de dedo(s) del pie con daño de la(s) uña(s),S912
Herida de otras partes del pie,S913
Heridas múltiples del tobillo y del pie,S917
"Fractura del pie, excepto del tobillo",S92
Fractura del calcáneo,S920
Fractura del astrágalo,S921
Fractura de otro(s) hueso(s) del tarso,S922
Fractura de hueso del metatarso,S923
Fractura de los huesos del dedo gordo del pie,S924
Fractura de los huesos de otro(s) dedo(s) del pie,S925
Fracturas múltiples del pie,S927
"Fractura del pie, no especificada",S929
"Luxación, esguince y torcedura de articulaciones y ligamentos del tobillo y del pie",S93
Luxación de la articulación del tobillo,S930
Luxación de dedo(s) del pie,S931
Ruptura de ligamentos a nivel del tobillo y del pie,S932
Luxación de otros sitios y los no especificados del pie,S933
Esguinces y torceduras del tobillo,S934
Esguinces y torceduras de dedo(s) del pie,S935
Esguinces y torceduras de otros sitios y de los no especificados del pie,S936
Traumatismo de nervios a nivel del pie y del tobillo,S94
Traumatismo del nervio plantar externo,S940
Traumatismo del nervio plantar interno,S941
Traumatismo del nervio peroneal profundo a nivel del pie y del tobillo,S942
Traumatismo de nervio sensorial cutáneo a nivel del pie y del tobillo,S943
Traumatismo de múltiples nervios a nivel del pie y del tobillo,S947
Traumatismo de otros nervios a nivel del pie y del tobillo,S948
Traumatismo de nervio no especificado a nivel del pie y del tobillo,S949
Traumatismo de vasos sanguíneos a nivel del pie y del tobillo,S95
Traumatismo de la arteria dorsal del pie,S950
Traumatismo de la arteria plantar del pie,S951
Traumatismo de la vena dorsal del pie,S952
Traumatismo de múltiples vasos sanguíneos a nivel del pie y del tobillo,S957
Traumatismo de otros vasos sanguíneos a nivel del pie y del tobillo,S958
Traumatismo de vaso sanguíneo no especificado a nivel del pie y del tobillo,S959
Traumatismo de tendón y músculo a nivel del pie y del tobillo,S96
Traumatismo del tendón y músculo del flexor largo del dedo a nivel del pie y del tobillo,S960
Traumatismo del tendón y músculo del extensor largo del (de los) dedo(s) a nivel del pie y del tobillo,S961
Traumatismo de tendones y músculos intrínsecos a nivel del pie y del tobillo,S962
Traumatismo de múltiples tendones y músculos a nivel del pie y del tobillo,S967
Traumatismo de otros tendones y músculos a nivel del pie y del tobillo,S968
Traumatismo de tendones y músculos no especificados a nivel del pie y del tobillo,S969
Traumatismo por aplastamiento del pie y del tobillo,S97
Traumatismo por aplastamiento del tobillo,S970
Traumatismo por aplastamiento de dedo(s) del pie,S971
Traumatismo por aplastamiento de otras partes del pie y del tobillo,S978
Amputación traumática del pie y del tobillo,S98
Amputación traumática del pie a nivel del tobillo,S980
Amputación traumática de un dedo del pie,S981
Amputación traumática de dos o más dedos del pie,S982
Amputación traumática de otras partes del pie,S983
"Amputación del pie, nivel no especificado",S984
Otros traumatismos y los no especificados del pie y del tobillo,S99
Traumatismos múltiples del pie y del tobillo,S997
"Otros traumatismos del pie y del tobillo, especificados",S998
"Traumatismo del pie y del tobillo, no especificado",S999
Traumatismos superficiales que afectan múltiples regiones del cuerpo,T00
Traumatismos superficiales que afectan la cabeza con el cuello,T000
"Traumatismos superficiales que afectan el tórax con el abdomen, la región lumbosacra y la pelvis",T001
Traumatismos superficiales que afectan múltiples regiones del(os) miembro(s) superior(es),T002
Traumatismos superficiales que afectan múltiples regiones del (de los) miembro(s) inferior(es),T003
Traumatismos superficiales que afectan múltiples regiones del (de los) miembro(s) superior(es) con miembro(s) inferior(es),T006
Traumatismos superficiales que afectan otras combinaciones de regiones del cuerpo,T008
"Traumatismos superficiales múltiples, no especificados",T009
Heridas que afectan múltiples regiones del cuerpo,T01
Heridas que afectan la cabeza con el cuello,T010
"Heridas que afectan el tórax con el abdomen, la región lumbosacra y la pelvis",T011
Heridas que afectan múltiples regiones del (de los) miembro(s) superior(es),T012
Heridas que afectan múltiples regiones del (de los) miembro(s) inferior(es),T013
Heridas que afectan múltiples regiones del (de los) miembro(s) superior(es) con miembro(s) inferior(es),T016
Heridas que afectan otras combinaciones de las regiones del cuerpo,T018
"Heridas múltiples, no especificadas",T019
Fracturas que afectan múltiples regiones del cuerpo,T02
Fracturas que afectan la cabeza con el cuello,T020
Fracturas que afectan el tórax con la región lumbosacra y la pelvis,T021
Fracturas que afectan múltiples regiones de un miembro superior,T022
Fracturas que afectan múltiples regiones de un miembro inferior,T023
Fracturas que afectan múltiples regiones de ambos miembros superiores,T024
Fracturas que afectan múltiples regiones de ambos miembros inferiores,T025
Fracturas que afectan múltiples regiones de miembro(s) superior(es) con miembro(s) inferior(es),T026
Fracturas que afectan el tórax con la región lumbosacra y la pelvis con miembro(s),T027
Fracturas que afectan otras combinaciones de las regiones del cuerpo,T028
"Fracturas múltiples, no especificadas",T029
"Luxaciones, torceduras y esguinces que afectan múltiples regiones del cuerpo",T03
"Luxaciones, torceduras y esguinces que afectan la cabeza con el cuello",T030
"Luxaciones, torceduras y esguinces que afectan el tórax con la región lumbosacra y la pelvis",T031
"Luxaciones, torceduras y esguinces que afectan múltiples regiones del (de los) miembros(s) superior(es)",T032
"Luxaciones, torceduras y esguinces que afectan múltiples regiones del (de los) miembros(s) inferior(es)",T033
"Luxaciones, torceduras y esguinces que afectan múltiples regiones del (de los) miembro(s) superior(es) con miembro(s) inferior(es)",T034
"Luxaciones, torceduras y esguinces que afectan otras combinaciones de regiones del cuerpo",T038
"Luxaciones, torceduras y esguinces múltiples, no especificados",T039
Traumatismos por aplastamiento que afectan múltiples regiones del cuerpo,T04
Traumatismos por aplastamiento que afectan la cabeza con el cuello,T040
"Traumatismos por aplastamiento que afectan el tórax con el abdomen, la región lumbosacra y la pelvis",T041
Traumatismos por aplastamiento que afectan múltiples regiones del (de los) miembro(s) superior(es),T042
Traumatismos por aplastamiento que afectan múltiples regiones del (de los) miembro(s) inferior(es),T043
Traumatismos por aplastamiento que afectan múltiples regiones del (de los) miembro(s) superior(es) con miembros inferior(es),T044
"Traumatismos por aplastamiento del tórax, del abdomen, de la región lumbosacra y de la pelvis con miembro(s)",T047
Traumatismos por aplastamiento que afectan otras combinaciones de regiones del cuerpo,T048
"Traumatismos por aplastamiento múltiple, no especificados",T049
Amputaciones traumáticas que afectan múltiples regiones del cuerpo,T05
Amputación traumática de ambas manos,T050
"Amputación traumática de una mano y el otro brazo [cualquier nivel, excepto mano]",T051
Amputación traumática de ambos brazos [cualquier nivel],T052
Amputación traumática de ambos pies,T053
"Amputación traumática de un pie y la otra pierna [cualquier nivel, excepto pie]",T054
Amputación traumática de ambas piernas [cualquier nivel],T055
"Amputación traumática de miembros superior(es) e inferior(es), cualquier combinación [cualquier nivel]",T056
Amputación traumática que afecta otras combinaciones de regiones del cuerpo,T058
"Amputaciones traumáticas múltiples, no especificadas",T059
"Otros traumatismos que afectan múltiples regiones del cuerpo, no clasificados en otra parte",T06
Traumatismos del encéfalo y de nervios craneales con traumatismo de nervios y médula espinal a nivel del cuello,T060
Traumatismos de nervios y médula espinal que afectan otras múltiples regiones del cuerpo,T061
Traumatismos de nervios que afectan múltiples regiones del cuerpo,T062
Traumatismos de vasos sanguíneos que afectan múltiples regiones del cuerpo,T063
Traumatismos de tendones y músculos que afectan múltiples regiones del cuerpo,T064
Traumatismos de órganos intratorácicos con órganos intraabdominales y pélvicos,T065
Otros traumatismos especificados que afectan múltiples regiones del cuerpo,T068
"Traumatismos múltiples, no especificados",T07
"Fractura de la columna vertebral, nivel no especificado",T08
"Otros traumatismos de la columna vertebral y del tronco, nivel no especificado",T09
"Traumatismo superficial del tronco, nivel no especificado",T090
"Herida del tronco, nivel no especificado",T091
"Luxación, esguince o torcedura de articulación y ligamentos del tronco, no especificado",T092
"Traumatismo de la médula espinal, nivel no especificado",T093
"Traumatismo de nervios, raíz de nervio espinal y plexos del tronco no especificados",T094
Traumatismo de tendones y músculos del tronco no especificados,T095
"Amputación traumática del tronco, nivel no especificado",T096
"Otros traumatismos especificados del tronco, nivel no especificado",T098
"Traumatismo no especificado del tronco, nivel no especificado",T099
"Fractura de miembro superior, nivel no especificado",T10
"Otros traumatismos de miembro superior, nivel no especificado",T11
"Traumatismo superficial de miembro superior, nivel no especificado",T110
"Herida de miembro superior, nivel no especificado",T111
"Luxación, esguince o torcedura de articulación o ligamento no especificado de miembro superior, nivel no especificado",T112
"Traumatismo de nervio no especificado de miembro superior, nivel no especificado",T113
"Traumatismo de vasos sanguíneos no especificados de miembro superior, nivel no especificado",T114
"Traumatismo de tendón y músculo no especificados de miembro superior, nivel no especificado",T115
"Amputación traumática de miembro superior, nivel no especificado",T116
"Otros traumatismos especificados de miembro superior, nivel no especificado",T118
"Traumatismo no especificado de miembro superior, nivel no especificado",T119
"Fractura de miembro inferior, nivel no especificado",T12
"Otros traumatismos de miembro inferior, nivel no especificado",T13
"Traumatismo superficial de miembro inferior, nivel no especificado",T130
"Herida de miembro inferior, nivel no especificado",T131
"Luxación, esguince o torcedura de articulación y ligamentos no especificados de miembro inferior, nivel no especificado",T132
"Traumatismo de nervios no especificados de miembro inferior, nivel no especificado",T133
"Traumatismo de vasos sanguíneos no especificados de miembro inferior, nivel no especificado",T134
"Traumatismo de tendones y músculos no especificados de miembro inferior, nivel no especificado",T135
"Amputación traumática de miembro inferior, nivel no especificado",T136
"Otros traumatismos especificados de miembro inferior, nivel no especificado",T138
"Traumatismo no especificado de miembro inferior, nivel no especificado",T139
Traumatismo de regiones no especificadas del cuerpo,T14
Traumatismo superficial de región no especificada del cuerpo,T140
Herida de región no especificada del cuerpo,T141
Fractura de región no especificada del cuerpo,T142
"Luxación, esguince y torcedura de región no especificada del cuerpo",T143
Traumatismo de nervio(s) de región no especificada del cuerpo,T144
Traumatismo de vaso(s) sanguíneo(s) de región no especificada del cuerpo,T145
Traumatismo de tendones y músculos de región no especificada del cuerpo,T146
Traumatismo por aplastamiento y amputación traumática de regiones no especificadas del cuerpo,T147
Otros traumatismos de región no especificada del cuerpo,T148
"Traumatismo, no especificado",T149
Cuerpo extraño en parte externa del ojo,T15
Cuerpo extraño en la córnea,T150
Cuerpo extraño en el saco conjuntival,T151
Cuerpo extraño en otras y en múltiples partes de la parte externa del ojo,T158
"Cuerpo extraño en parte externa del ojo, sitio no especificado",T159
Cuerpo extraño en el oído,T16
Cuerpo extraño en las vías respiratorias,T17
Cuerpo extraño en seno paranasal,T170
Cuerpo extraño en el orificio nasal,T171
Cuerpo extraño en la faringe,T172
Cuerpo extraño en la laringe,T173
Cuerpo extraño en la tráquea,T174
Cuerpo extraño en bronquios,T175
Cuerpo extraño en otras y en múltiples partes de las vías respiratorias,T178
"Cuerpo extraño en las vías respiratorias, parte no especificada",T179
Cuerpo extraño en el tubo digestivo,T18
Cuerpo extraño en la boca,T180
Cuerpo extraño en el esófago,T181
Cuerpo extraño en el estómago,T182
Cuerpo extraño en el intestino delgado,T183
Cuerpo extraño en el colon,T184
Cuerpo extraño en el ano y en el recto,T185
Cuerpo extraño en otras y en múltiples partes del tubo digestivo,T188
"Cuerpo extraño en el tubo digestivo, parte no especificada",T189
Cuerpo extraño en las vías genitourinarias,T19
Cuerpo extraño en la uretra/span>,T190
Cuerpo extraño en la vejiga,T191
Cuerpo extraño en la vulva y en la vagina,T192
Cuerpo extraño en el útero [cualquier parte],T193
Cuerpo extraño en otras y en múltiples partes de las vías genitourinarias,T198
"Cuerpo extraño en las vías genitourinarias, parte no especificada",T199
Quemadura y corrosión de la cabeza y del cuello,T20
"Quemadura de la cabeza y del cuello, grado no especificado",T200
"Quemadura de la cabeza y del cuello, de primer grado",T201
"Quemadura de la cabeza y del cuello, de segundo grado",T202
"Quemadura de la cabeza y del cuello, de tercer grado",T203
"Corrosión de la cabeza y del cuello, grado no especificado",T204
"Corrosión de la cabeza y del cuello, de primer grado",T205
"Corrosión de la cabeza y del cuello, de segundo grado",T206
"Corrosión de la cabeza y del cuello, de tercer grado",T207
Quemadura y corrosión del tronco,T21
"Quemadura del tronco, grado no especificado",T210
"Quemadura del tronco, de primer grado",T211
"Quemadura del tronco, de segundo grado",T212
"Quemadura del tronco, de tercer grado",T213
"Corrosión del tronco, grado no especificado",T214
"Corrosión del tronco, de primer grado",T215
"Corrosión del tronco, de segundo grado",T216
"Corrosión del tronco, de tercer grado",T217
"Quemadura y corrosión del hombro y miembro superior, excepto de la muñeca y de la mano",T22
"Quemadura del hombro y miembro superior, grado no especificado, excepto de la muñeca y de la mano",T220
"Quemadura del hombro y miembro superior, de primer grado, excepto de la muñeca y de la mano",T221
"Quemadura del hombro y miembro superior, de segundo grado, excepto de la muñeca y de la mano",T222
"Quemadura del hombro y miembro superior, de tercer grado, excepto de la muñeca y de la mano",T223
"Corrosión del hombro y miembro superior, grado no especificado, excepto de la muñeca y de la mano",T224
"Corrosión del hombro y miembro superior, de primer grado, excepto de la muñeca y de la mano",T225
"Corrosión del hombro y miembro superior, de segundo grado, excepto de la muñeca y de la mano",T226
"Corrosión del hombro y miembro superior, de tercer grado, excepto de la muñeca y de la mano",T227
Quemadura y corrosión de la muñeca y de la mano,T23
"Quemadura de la muñeca y de la mano, grado no especificado",T230
"Quemadura de la muñeca y de la mano, de primer grado",T231
"Quemadura de la muñeca y de la mano, de segundo grado",T232
"Quemadura de la muñeca y de la mano, de tercer grado",T233
"Corrosión de la muñeca y de la mano, grado no especificado",T234
"Corrosión de la muñeca y de la mano, de primer grado",T235
"Corrosión de la muñeca y de la mano, de segundo grado",T236
"Corrosión de la muñeca y de la mano, de tercer grado",T237
"Quemadura y corrosión de la cadera y miembro inferior, excepto tobillo y pie",T24
"Quemadura de la cadera y miembro inferior, grado no especificado, excepto tobillo y pie",T240
"Quemadura de la cadera y miembro inferior, de primer grado, excepto tobillo y pie",T241
"Quemadura de la cadera y miembro inferior, de segundo grado, excepto tobillo y pie",T242
"Quemadura de la cadera y miembro inferior, de tercer grado, excepto tobillo y pie",T243
"Corrosión de la cadera y miembro inferior, grado no especificado, excepto tobillo y pie",T244
"Corrosión de la cadera y miembro inferior, de primer grado, excepto tobillo y pie",T245
"Corrosión de la cadera y miembro inferior, de segundo grado, excepto tobillo y pie",T246
"Corrosión de la cadera y miembro inferior, de tercer grado, excepto tobillo y pie",T247
Quemadura y corrosión del tobillo y del pie,T25
"Quemadura del tobillo y del pie, grado no especificado",T250
"Quemadura del tobillo y del pie, de primer grado",T251
"Quemadura del tobillo y del pie, de segundo grado",T252
"Quemadura del tobillo y del pie, de tercer grado",T253
"Corrosión del tobillo y del pie, grado no especificado",T254
"Corrosión del tobillo y del pie, de primer grado",T255
"Corrosión del tobillo y del pie, de segundo grado",T256
"Corrosión del tobillo y del pie, de tercer grado",T257
Quemadura y corrosión limitada al ojo y sus anexos,T26
Quemadura del párpado y área periocular,T260
Quemadura de la córnea y saco conjuntival,T261
Quemadura con ruptura y destrucción resultantes del globo ocular,T262
Quemadura de otras partes del ojo y sus anexos,T263
"Quemadura del ojo y anexos, parte no especificada",T264
Corrosión del párpado y área periocular,T265
Corrosión de la córnea y saco conjuntival,T266
Corrosión con ruptura y destrucción resultantes del globo ocular,T267
Corrosión de otras partes del ojo y sus anexos,T268
"Corrosión del ojo y sus anexos, parte no especificada",T269
Quemadura y corrosión de las vías respiratorias,T27
Quemadura de la laringe y de la tráquea,T270
Quemadura que afecta la laringe y la tráquea con el pulmón,T271
Quemadura de otras partes de las vías respiratorias,T272
"Quemadura de las vías respiratorias, parte no especificada",T273
